FECHA,COMB. GANADORA,,,,,CLAVE / R
18/10/2020,05,09,32,38,39,5
11/10/2020,13,17,23,25,50,1
4/10/2020,03,06,13,23,37,1
27/09/2020,01,27,45,48,54,9
20/09/2020,07,31,37,48,54,6
13/09/2020,06,31,50,52,54,1
6/09/2020,08,10,26,40,43,8
30/08/2020,05,09,35,37,46,3
23/08/2020,09,13,22,29,51,2
16/08/2020,09,20,28,30,52,2
9/08/2020,10,34,37,42,49,0
2/08/2020,06,19,39,50,51,1
26/07/2020,09,30,34,36,37,5
19/07/2020,24,30,43,49,50,9
12/07/2020,10,23,27,28,46,7
5/07/2020,05,07,11,23,33,4
28/06/2020,02,13,39,41,46,0
21/06/2020,10,14,20,25,37,2
14/06/2020,03,21,31,32,54,7
7/06/2020,02,10,25,34,54,2
31/05/2020,03,11,17,36,54,5
15/03/2020,04,07,12,22,42,3
8/03/2020,38,40,44,49,51,5
1/03/2020,03,08,10,20,26,5
23/02/2020,07,18,20,47,50,3
16/02/2020,12,29,34,51,53,6
9/02/2020,01,04,28,44,49,5
2/02/2020,08,15,22,38,45,2
26/01/2020,01,12,21,40,54,8
19/01/2020,15,18,39,43,54,9
12/01/2020,31,34,44,45,47,9
5/01/2020,22,25,27,32,44,6
29/12/2019,13,16,21,30,35,2
22/12/2019,14,28,46,50,52,2
15/12/2019,05,13,15,27,38,2
8/12/2019,02,03,27,30,38,9
1/12/2019,09,21,30,41,53,8
24/11/2019,13,24,40,48,54,7
17/11/2019,01,12,24,43,47,9
10/11/2019,03,07,22,45,49,5
3/11/2019,12,14,16,32,50,3
27/10/2019,25,26,28,29,51,2
20/10/2019,20,25,32,41,53,9
13/10/2019,15,16,27,32,35,4
6/10/2019,03,14,18,37,51,0
29/09/2019,03,06,07,33,35,3
22/09/2019,24,29,35,51,54,3
15/09/2019,09,24,29,33,54,3
8/09/2019,02,03,23,27,49,8
1/09/2019,08,17,29,48,49,4
25/08/2019,17,24,31,34,36,9
18/08/2019,07,13,22,27,34,4
11/08/2019,03,07,18,40,53,6
4/08/2019,37,39,43,48,49,4
28/07/2019,01,06,12,28,54,1
21/07/2019,03,17,21,37,43,8
14/07/2019,12,18,40,42,51,9
7/07/2019,20,23,24,34,41,8
30/06/2019,11,13,26,28,43,5
23/06/2019,08,19,22,30,34,9
16/06/2019,09,24,27,43,45,7
9/06/2019,02,07,13,27,31,0
2/06/2019,10,14,31,42,43,1
26/05/2019,09,30,32,49,50,0
19/05/2019,19,20,24,37,45,5
12/05/2019,02,10,11,49,54,3
5/05/2019,08,12,18,20,26,7
28/04/2019,02,04,05,24,43,2
21/04/2019,16,22,38,40,46,7
14/04/2019,07,11,14,33,41,3
7/04/2019,05,09,19,21,27,6
31/03/2019,08,12,15,24,33,2
24/03/2019,01,08,09,16,42,8
17/03/2019,19,20,34,36,37,6
10/03/2019,15,19,35,36,37,5
3/03/2019,01,05,07,27,44,9
24/02/2019,04,15,31,37,49,0
17/02/2019,02,18,40,48,53,6
10/02/2019,12,25,33,40,52,0
3/02/2019,33,34,49,50,53,5
27/01/2019,11,20,35,51,53,3
20/01/2019,03,07,24,36,42,3
13/01/2019,02,24,44,45,48,0
6/01/2019,07,12,13,15,37,6
30/12/2018,02,07,31,41,50,3
23/12/2018,38,41,46,47,53,6
16/12/2018,11,13,26,28,48,0
9/12/2018,12,24,27,30,32,2
2/12/2018,09,20,29,34,51,6
25/11/2018,03,17,24,38,52,5
18/11/2018,19,27,39,42,45,4
11/11/2018,02,15,42,46,53,3
4/11/2018,02,18,45,49,51,8
28/10/2018,06,19,23,26,35,3
21/10/2018,02,08,12,24,31,2
14/10/2018,14,28,30,44,52,0
7/10/2018,27,35,36,40,45,1
30/09/2018,11,26,37,41,47,8
23/09/2018,01,22,26,34,49,8
16/09/2018,03,08,18,28,49,8
9/09/2018,03,26,30,35,42,7
2/09/2018,13,15,24,27,42,5
26/08/2018,05,06,14,20,33,4
19/08/2018,07,11,17,36,44,6
12/08/2018,19,34,43,44,53,1
5/08/2018,05,12,16,23,53,0
29/07/2018,22,25,34,43,48,8
22/07/2018,08,13,28,49,52,7
15/07/2018,03,21,40,42,49,5
8/07/2018,11,19,22,29,40,0
1/07/2018,20,25,37,45,46,4
24/06/2018,07,08,17,24,49,7
17/06/2018,02,27,34,44,51,4
10/06/2018,05,08,29,35,36,7
3/06/2018,05,28,33,38,44,4
27/05/2018,03,19,20,28,30,3
20/05/2018,24,27,34,35,44,8
13/05/2018,08,12,21,34,47,0
6/05/2018,21,33,39,43,50,2
29/04/2018,13,21,40,42,52,7
22/04/2018,11,13,24,26,41,2
15/04/2018,02,12,25,42,52,0
8/04/2018,22,23,30,31,33,9
1/04/2018,03,27,30,38,53,7
25/03/2018,03,08,09,20,37,5
18/03/2018,03,04,05,13,20,9
11/03/2018,04,09,31,37,48,6
4/03/2018,01,23,41,43,50,4
25/02/2018,04,17,25,33,40,5
18/02/2018,23,30,42,51,54,7
11/02/2018,01,03,06,29,40,2
4/02/2018,03,15,17,52,53,4
28/01/2018,03,05,11,41,45,2
21/01/2018,04,09,11,29,46,1
14/01/2018,03,05,11,26,33,1
7/01/2018,05,25,29,37,52,2
31/12/2017,10,12,26,31,52,2
24/12/2017,06,07,34,42,53,9
17/12/2017,02,08,20,28,48,4
10/12/2017,01,03,08,11,49,5
3/12/2017,01,11,18,40,50,6
26/11/2017,03,24,39,50,54,6
19/11/2017,09,11,12,36,53,9
12/11/2017,11,30,37,44,49,4
5/11/2017,02,10,17,22,39,2
29/10/2017,09,11,21,51,54,4
22/10/2017,06,09,20,27,43,3
15/10/2017,18,26,30,33,51,7
8/10/2017,10,13,23,37,54,6
1/10/2017,19,34,43,48,53,5
24/09/2017,12,16,19,27,51,1
17/09/2017,10,23,36,38,41,1
10/09/2017,07,09,12,33,47,6
3/09/2017,06,14,22,46,50,4
27/08/2017,09,21,31,45,46,8
20/08/2017,11,14,18,35,50,5
13/08/2017,09,19,33,37,40,0
6/08/2017,04,13,22,52,53,6
30/07/2017,12,14,32,34,48,4
23/07/2017,07,12,34,51,52,8
16/07/2017,24,38,45,47,51,3
9/07/2017,07,29,40,41,46,5
2/07/2017,09,27,31,32,34,1
25/06/2017,01,02,09,12,38,6
18/06/2017,05,13,31,42,52,5
11/06/2017,02,03,13,29,43,0
4/06/2017,06,15,22,29,54,8
28/05/2017,01,11,13,50,53,1
21/05/2017,09,33,34,42,47,1
14/05/2017,13,23,24,25,45,8
7/05/2017,02,21,37,51,53,6
30/04/2017,06,15,30,34,44,1
23/04/2017,04,05,07,10,42,0
16/04/2017,06,14,17,39,41,6
9/04/2017,02,04,22,34,40,3
2/04/2017,01,11,17,21,32,9
26/03/2017,28,32,35,39,41,3
19/03/2017,08,20,34,39,44,4
12/03/2017,08,22,26,29,32,5
5/03/2017,03,35,42,45,54,8
26/02/2017,03,23,32,36,51,8
19/02/2017,07,31,37,38,39,7
12/02/2017,17,22,29,32,48,4
5/02/2017,07,09,10,13,37,3
29/01/2017,15,40,41,49,51,9
22/01/2017,11,20,23,32,40,8
15/01/2017,03,21,31,39,46,2
8/01/2017,12,38,41,43,53,9
1/01/2017,06,10,32,45,51,6
25/12/2016,09,18,19,45,53,6
18/12/2016,21,22,44,46,54,3
11/12/2016,17,20,34,37,44,1
4/12/2016,05,10,27,43,52,9
27/11/2016,08,17,22,39,48,6
20/11/2016,16,22,36,41,51,7
13/11/2016,14,42,46,48,53,5
6/11/2016,06,25,28,34,44,2
30/10/2016,04,05,09,53,54,3
23/10/2016,05,07,19,22,29,1
16/10/2016,02,25,33,46,51,1
9/10/2016,07,14,29,49,52,7
2/10/2016,09,12,34,35,40,5
25/09/2016,04,08,11,19,32,7
18/09/2016,08,13,28,37,44,5
11/09/2016,11,15,39,42,48,4
4/09/2016,07,14,36,47,49,3
28/08/2016,02,11,13,26,42,0
21/08/2016,22,23,33,34,52,3
14/08/2016,04,07,08,16,36,3
7/08/2016,08,09,12,25,33,9
31/07/2016,06,10,13,20,46,0
24/07/2016,20,23,39,48,53,3
17/07/2016,01,14,15,36,52,9
10/07/2016,06,10,18,26,42,0
3/07/2016,06,16,32,42,50,9
26/06/2016,14,27,39,44,45,5
19/06/2016,02,06,29,34,39,1
12/06/2016,03,04,13,23,27,1
5/06/2016,03,08,22,23,40,3
29/05/2016,07,12,26,39,42,5
22/05/2016,06,12,14,17,24,4
15/05/2016,04,06,28,31,47,6
8/05/2016,01,15,18,32,34,5
1/05/2016,01,04,07,14,22,7
24/04/2016,01,08,29,30,49,9
17/04/2016,09,10,15,36,47,5
10/04/2016,10,11,24,31,50,3
3/04/2016,02,03,15,26,52,9
27/03/2016,15,19,21,28,33,4
20/03/2016,12,13,16,37,53,6
13/03/2016,10,12,22,24,53,8
6/03/2016,05,12,30,31,48,7
28/02/2016,09,17,25,36,38,5
21/02/2016,15,34,37,49,51,8
14/02/2016,12,21,22,25,39,5
7/02/2016,03,14,40,49,51,7
31/01/2016,06,16,33,42,43,6
24/01/2016,03,10,19,27,31,2
17/01/2016,06,08,15,19,22,2
10/01/2016,13,21,28,43,51,0
3/01/2016,07,10,32,34,35,5
27/12/2015,04,26,29,41,53,4
20/12/2015,04,16,23,24,31,7
13/12/2015,18,22,32,33,38,7
6/12/2015,07,31,33,34,48,6
29/11/2015,11,16,34,39,54,7
22/11/2015,03,21,38,39,48,7
15/11/2015,05,16,18,23,33,4
8/11/2015,06,09,43,47,51,2
1/11/2015,06,10,11,21,31,1
25/10/2015,10,18,26,32,34,7
18/10/2015,07,10,19,26,32,1
11/10/2015,03,13,14,19,30,9
4/10/2015,09,18,25,39,42,7
27/09/2015,17,28,34,36,38,0
20/09/2015,07,08,19,21,36,1
13/09/2015,09,22,25,53,54,3
6/09/2015,02,20,28,45,54,7
30/08/2015,04,09,11,27,36,4
23/08/2015,10,13,21,38,42,8
16/08/2015,30,31,35,37,41,6
9/08/2015,28,40,48,52,54,4
2/08/2015,16,21,26,42,54,5
26/07/2015,03,28,33,39,45,9
19/07/2015,10,15,25,28,40,7
12/07/2015,03,13,23,31,39,2
5/07/2015,02,13,15,17,43,1
28/06/2015,15,19,44,47,48,3
21/06/2015,10,11,21,25,48,1
14/06/2015,05,14,21,26,41,6
7/06/2015,08,16,34,40,50,8
31/05/2015,18,19,27,31,54,7
24/05/2015,04,11,28,45,49,6
17/05/2015,21,34,36,48,52,7
10/05/2015,07,22,23,26,38,0
3/05/2015,04,15,18,29,30,8
26/04/2015,19,20,22,42,50,3
19/04/2015,08,23,27,38,53,0
12/04/2015,17,25,29,31,42,2
5/04/2015,07,12,34,35,40,4
29/03/2015,11,14,17,39,46,3
22/03/2015,11,15,36,42,48,4
15/03/2015,04,07,18,27,45,2
8/03/2015,17,24,31,38,53,2
1/03/2015,13,17,27,44,49,0
22/02/2015,05,07,17,29,34,8
15/02/2015,16,19,38,47,48,2
8/02/2015,14,15,22,49,52,8
1/02/2015,02,07,14,21,31,9
25/01/2015,11,23,41,45,54,7
18/01/2015,22,30,32,34,42,8
11/01/2015,03,12,19,20,52,3
4/01/2015,10,22,28,31,54,6
28/12/2014,05,06,15,34,53,1
21/12/2014,16,20,21,32,37,0
14/12/2014,05,09,31,35,48,0
7/12/2014,10,22,38,41,53,7
30/11/2014,11,37,38,49,51,7
23/11/2014,13,17,25,36,50,8
16/11/2014,22,40,42,46,48,5
9/11/2014,02,04,10,33,46,6
2/11/2014,12,17,23,30,47,6
26/10/2014,35,36,38,48,50,8
19/10/2014,14,36,39,42,45,0
12/10/2014,05,15,17,38,47,9
5/10/2014,07,24,43,44,50,5
28/09/2014,07,20,21,33,38,2
21/09/2014,09,18,26,30,31,8
14/09/2014,09,10,13,24,36,3
7/09/2014,10,19,36,39,48,4
31/08/2014,08,10,14,36,48,5
24/08/2014,02,06,07,24,27,7
17/08/2014,02,19,32,43,49,6
10/08/2014,08,14,19,21,45,3
3/08/2014,01,32,35,46,49,1
27/07/2014,06,09,18,27,47,1
20/07/2014,03,05,08,14,45,5
13/07/2014,03,20,26,27,32,7
6/07/2014,03,07,17,23,48,3
29/06/2014,05,08,12,22,46,3
22/06/2014,05,22,28,41,51,0
15/06/2014,06,11,15,24,38,1
8/06/2014,09,45,47,49,54,2
1/06/2014,13,15,34,44,54,3
25/05/2014,09,26,40,47,51,7
18/05/2014,15,25,27,28,40,9
11/05/2014,19,20,21,47,54,0
4/05/2014,01,02,21,37,53,6
27/04/2014,04,10,23,31,51,3
20/04/2014,01,09,17,29,53,0
13/04/2014,19,23,33,37,53,8
6/04/2014,11,30,37,43,46,0
30/03/2014,11,15,18,23,40,3
23/03/2014,09,20,30,37,44,2
16/03/2014,02,27,29,45,49,9
9/03/2014,09,17,32,41,48,2
2/03/2014,09,15,24,38,39,8
23/02/2014,04,20,34,41,42,6
16/02/2014,11,41,42,48,53,4
9/02/2014,14,23,26,31,36,8
2/02/2014,31,44,47,51,52,6
26/01/2014,34,39,41,43,54,8
19/01/2014,02,03,06,27,39,8
12/01/2014,20,25,33,41,42,1
5/01/2014,02,21,25,44,52,9
29/12/2013,11,17,21,26,47,5
22/12/2013,11,24,36,43,47,3
15/12/2013,03,20,24,40,46,9
8/12/2013,26,33,35,38,49,6
1/12/2013,06,24,46,48,54,3
24/11/2013,09,17,21,37,41,4
17/11/2013,13,15,34,36,50,7
10/11/2013,06,07,29,51,54,2
3/11/2013,02,09,17,28,42,3
27/10/2013,04,24,39,41,48,0
20/10/2013,22,33,34,38,52,6
13/10/2013,11,24,27,30,50,2
6/10/2013,11,35,37,49,50,8
29/09/2013,02,26,40,42,54,8
22/09/2013,16,38,44,45,47,9
15/09/2013,03,05,16,18,29,4
8/09/2013,34,39,40,43,44,0
1/09/2013,01,02,12,18,39,8
25/08/2013,04,08,10,20,51,0
18/08/2013,01,12,33,42,46,2
11/08/2013,06,29,47,52,53,8
4/08/2013,20,32,38,44,46,1
28/07/2013,11,16,19,32,33,1
21/07/2013,01,12,26,44,48,2
14/07/2013,07,16,23,37,49,4
7/07/2013,11,16,28,37,44,0
30/06/2013,16,32,49,51,52,0
23/06/2013,01,11,20,38,39,7
16/06/2013,22,37,40,52,54,4
9/06/2013,16,25,37,38,43,7
2/06/2013,10,13,19,35,36,9
26/05/2013,06,07,32,41,51,0
19/05/2013,03,28,33,36,48,7
12/05/2013,05,12,14,23,41,7
5/05/2013,17,23,25,44,52,8
28/04/2013,18,23,27,38,51,7
21/04/2013,25,28,31,41,51,5
14/04/2013,04,16,20,22,26,3
7/04/2013,05,14,26,29,30,3
31/03/2013,12,20,27,36,45,3
24/03/2013,06,22,30,31,51,9
17/03/2013,02,08,21,24,40,9
10/03/2013,03,09,26,45,49,8
3/03/2013,06,09,14,22,39,3
24/02/2013,05,07,21,27,33,5
17/02/2013,09,27,28,32,53,6
10/02/2013,07,09,11,15,48,9
3/02/2013,08,16,20,39,47,8
27/01/2013,09,27,30,43,46,1
20/01/2013,05,16,32,39,53,2
13/01/2013,17,27,44,45,51,9
6/01/2013,10,38,47,48,53,4
30/12/2012,01,02,11,19,47,7
23/12/2012,12,18,40,42,54,3
16/12/2012,09,20,28,31,50,9
9/12/2012,10,35,37,41,49,0
2/12/2012,06,11,32,47,48,5
25/11/2012,02,04,22,29,48,2
18/11/2012,10,22,39,49,53,9
