FECHA,COMB. GANADORA,,,,,CLAVE / R
11/11/2012,10,28,39,44,49,3
4/11/2012,10,27,32,38,46,1
28/10/2012,23,34,42,43,45,1
21/10/2012,21,34,43,53,54,7
14/10/2012,03,15,19,35,51,5
7/10/2012,12,17,19,34,54,1
30/09/2012,01,25,26,34,47,1
23/09/2012,09,17,27,34,47,9
16/09/2012,20,25,27,47,48,2
9/09/2012,25,31,32,33,49,3
2/09/2012,29,31,36,40,53,8
26/08/2012,27,29,34,49,50,8
19/08/2012,03,14,25,51,52,5
12/08/2012,08,40,41,44,52,9
5/08/2012,16,22,26,47,53,6
29/07/2012,09,11,39,43,45,0
22/07/2012,12,35,40,45,53,4
15/07/2012,01,03,22,27,34,9
8/07/2012,19,28,29,33,45,7
1/07/2012,03,21,24,27,53,9
24/06/2012,04,11,15,21,35,4
17/06/2012,04,17,28,35,45,0
10/06/2012,01,02,08,12,28,9
3/06/2012,02,06,20,25,28,1
27/05/2012,01,04,13,42,54,1
20/05/2012,05,30,31,36,50,5
13/05/2012,12,15,33,34,44,4
6/05/2012,07,14,29,40,41,7
29/04/2012,06,22,23,29,49,6
22/04/2012,23,33,36,40,48,7
15/04/2012,04,06,23,41,52,3
8/04/2012,20,33,38,48,51,7
1/04/2012,02,21,27,36,38,9
25/03/2012,02,23,26,48,51,9
18/03/2012,01,13,26,29,54,9
11/03/2012,04,08,16,21,53,9
4/03/2012,12,22,23,33,44,3
26/02/2012,18,23,37,43,49,6
19/02/2012,18,27,29,38,39,0
12/02/2012,09,19,27,30,53,3
5/02/2012,01,10,26,33,54,6
29/01/2012,26,29,30,38,41,5
22/01/2012,11,23,24,32,46,7
15/01/2012,02,11,30,38,41,5
8/01/2012,02,18,19,24,43,6
1/01/2012,10,14,15,27,34,9
25/12/2011,04,09,30,41,50,8
18/12/2011,04,18,23,30,49,9
11/12/2011,10,17,29,41,52,2
4/12/2011,13,16,32,35,39,2
27/11/2011,04,26,32,42,44,2
20/11/2011,33,36,44,48,53,1
13/11/2011,04,09,16,21,29,6
6/11/2011,15,22,42,43,47,8
30/10/2011,24,30,31,38,44,2
23/10/2011,06,11,13,15,53,1
16/10/2011,13,17,22,33,48,2
9/10/2011,27,36,37,46,47,7
2/10/2011,11,15,19,27,35,9
25/09/2011,06,12,14,24,37,0
18/09/2011,12,14,27,37,48,9
11/09/2011,11,23,27,28,45,3
4/09/2011,06,12,24,34,45,9
28/08/2011,13,26,31,33,46,2
21/08/2011,05,06,21,26,37,1
14/08/2011,12,29,36,39,51,6
7/08/2011,03,04,25,34,41,7
31/07/2011,17,18,23,51,53,1
24/07/2011,10,14,37,39,51,6
17/07/2011,32,35,39,45,49,6
10/07/2011,09,16,29,33,43,1
3/07/2011,26,37,44,47,51,6
26/06/2011,06,18,20,22,52,5
19/06/2011,14,33,36,41,45,9
12/06/2011,09,40,47,53,54,8
5/06/2011,07,24,31,47,51,5
29/05/2011,16,22,38,44,49,2
22/05/2011,01,03,07,15,28,6
15/05/2011,02,03,25,32,46,5
8/05/2011,18,21,43,48,50,5
1/05/2011,05,29,35,43,47,0
24/04/2011,14,27,43,45,54,8
17/04/2011,04,13,18,24,54,0
10/04/2011,10,23,29,39,52,4
3/04/2011,01,07,08,44,54,5
27/03/2011,08,11,36,44,51,9
20/03/2011,10,15,17,32,35,0
13/03/2011,20,25,29,53,54,3
6/03/2011,01,25,35,39,50,3
27/02/2011,11,12,21,23,28,0
20/02/2011,07,18,35,42,51,7
13/02/2011,08,20,32,49,52,9
6/02/2011,12,14,26,39,46,1
30/01/2011,02,15,18,35,49,8
23/01/2011,11,14,21,33,50,5
16/01/2011,01,06,13,40,45,3
9/01/2011,18,26,33,39,46,4
2/01/2011,01,08,20,28,31,6
26/12/2010,15,33,34,46,54,0
19/12/2010,09,10,12,14,43,7
12/12/2010,12,18,20,23,49,9
5/12/2010,07,08,11,22,52,7
28/11/2010,03,15,27,50,53,6
21/11/2010,10,15,18,33,54,5
14/11/2010,14,15,37,38,51,8
7/11/2010,07,21,35,44,50,1
31/10/2010,01,03,09,20,32,7
24/10/2010,03,23,41,47,53,7
17/10/2010,28,31,34,37,47,5
10/10/2010,14,15,17,28,46,3
3/10/2010,09,11,33,42,50,7
26/09/2010,04,05,11,15,50,1
19/09/2010,34,35,41,42,53,0
12/09/2010,02,03,31,41,49,9
5/09/2010,16,21,29,31,54,8
29/08/2010,20,23,28,45,51,9
22/08/2010,09,13,17,22,36,8
15/08/2010,03,06,23,28,40,1
8/08/2010,22,24,25,29,34,3
1/08/2010,07,21,35,37,43,2
25/07/2010,23,24,30,46,52,5
18/07/2010,06,08,13,29,52,9
11/07/2010,05,12,32,34,38,7
4/07/2010,01,14,27,31,48,4
27/06/2010,11,27,45,49,52,6
20/06/2010,15,28,31,45,52,0
13/06/2010,20,36,40,50,54,1
6/06/2010,23,32,36,40,50,8
30/05/2010,04,10,13,32,36,2
23/05/2010,11,12,18,24,46,0
16/05/2010,04,11,22,29,31,7
9/05/2010,16,22,30,33,37,1
2/05/2010,04,08,22,36,51,6
25/04/2010,04,14,17,32,45,0
18/04/2010,05,10,11,28,37,4
11/04/2010,14,16,27,28,29,8
4/04/2010,15,32,36,45,47,2
28/03/2010,02,12,28,36,46,4
21/03/2010,03,16,32,41,47,5
14/03/2010,15,30,36,40,43,5
7/03/2010,38,41,47,49,53,5
28/02/2010,12,24,28,29,45,2
21/02/2010,17,26,37,41,50,0
14/02/2010,08,25,29,41,49,8
7/02/2010,22,24,45,47,51,6
31/01/2010,14,22,25,31,35,8
24/01/2010,14,19,31,33,54,4
17/01/2010,24,30,39,40,50,2
10/01/2010,06,09,12,23,40,6
3/01/2010,21,24,48,51,53,0
27/12/2009,11,18,20,23,47,7
20/12/2009,10,13,21,31,49,8
13/12/2009,03,12,14,21,23,0
6/12/2009,03,25,29,34,37,2
29/11/2009,06,16,18,26,45,2
22/11/2009,03,16,23,29,47,6
15/11/2009,12,28,29,34,53,0
8/11/2009,03,12,20,33,34,9
1/11/2009,07,23,24,33,44,5
25/10/2009,09,33,36,38,42,3
18/10/2009,02,04,35,36,44,1
11/10/2009,11,12,25,31,47,9
4/10/2009,08,24,36,41,42,5
27/09/2009,15,26,37,38,53,9
20/09/2009,06,11,19,39,43,1
13/09/2009,07,18,29,30,47,0
6/09/2009,02,09,29,33,44,8
30/08/2009,05,09,16,49,53,1
23/08/2009,03,07,08,36,53,8
16/08/2009,06,10,22,26,53,5
9/08/2009,18,23,31,42,51,7
2/08/2009,22,30,33,41,43,9
26/07/2009,04,31,44,45,51,2
19/07/2009,07,08,14,27,36,3
12/07/2009,16,19,35,36,37,4
5/07/2009,22,24,36,42,44,1
28/06/2009,15,19,38,42,46,8
21/06/2009,14,22,26,28,29,8
14/06/2009,18,29,30,35,51,6
7/06/2009,07,37,38,41,43,8
31/05/2009,09,14,42,45,50,2
24/05/2009,01,04,38,41,52,7
17/05/2009,04,18,19,26,47,0
10/05/2009,05,21,26,44,45,4
3/05/2009,14,33,44,45,50,1
26/04/2009,08,15,47,50,51,9
19/04/2009,04,15,28,39,46,9
12/04/2009,14,15,22,26,37,9
5/04/2009,01,02,34,40,46,0
29/03/2009,14,29,43,50,54,2
22/03/2009,13,24,33,44,52,8
15/03/2009,09,35,45,46,49,0
8/03/2009,02,11,41,42,45,1
1/03/2009,15,21,29,47,54,8
22/02/2009,07,08,39,45,50,8
15/02/2009,16,19,44,53,54,2
8/02/2009,13,32,46,49,52,9
1/02/2009,06,20,34,39,47,4
25/01/2009,02,03,08,52,54,1
18/01/2009,06,07,28,38,43,8
11/01/2009,05,23,30,34,42,7
4/01/2009,09,27,50,52,54,3
28/12/2008,09,18,44,49,50,1
21/12/2008,19,24,26,28,47,7
14/12/2008,18,26,31,33,44,7
7/12/2008,05,24,25,27,41,9
30/11/2008,13,18,39,44,54,1
23/11/2008,14,16,25,26,34,8
16/11/2008,02,14,29,46,51,2
9/11/2008,24,40,47,50,54,8
2/11/2008,05,17,25,32,36,9
26/10/2008,11,24,32,40,52,9
19/10/2008,12,27,42,49,53,1
12/10/2008,03,23,24,31,46,4
5/10/2008,01,07,14,17,49,0
28/09/2008,06,09,16,19,21,9
21/09/2008,28,32,36,42,50,9
14/09/2008,04,26,30,41,54,9
7/09/2008,17,18,32,46,49,4
31/08/2008,01,20,39,45,47,1
24/08/2008,16,40,49,51,52,2
17/08/2008,01,26,30,47,48,9
10/08/2008,18,25,26,37,52,9
3/08/2008,02,18,20,46,54,7
27/07/2008,03,24,25,38,45,4
20/07/2008,10,13,20,31,51,1
13/07/2008,04,07,20,46,47,9
6/07/2008,07,24,25,36,41,5
29/06/2008,12,17,39,40,42,3
22/06/2008,03,10,20,41,47,0
15/06/2008,09,29,39,46,48,3
8/06/2008,09,14,25,49,50,0
1/06/2008,01,11,40,50,53,0
25/05/2008,04,05,29,37,43,8
18/05/2008,12,15,29,40,47,6
11/05/2008,06,14,20,35,53,2
4/05/2008,22,25,41,43,45,6
27/04/2008,06,18,23,30,34,4
20/04/2008,10,19,35,46,47,9
13/04/2008,16,23,36,46,49,8
6/04/2008,04,29,41,43,44,3
30/03/2008,02,04,10,14,41,5
23/03/2008,18,19,29,31,44,2
16/03/2008,16,32,34,45,53,7
9/03/2008,02,33,34,38,51,7
2/03/2008,16,17,18,32,34,2
24/02/2008,10,33,37,48,49,9
17/02/2008,01,10,34,41,48,5
10/02/2008,02,32,37,38,54,6
3/02/2008,17,26,37,39,53,8
27/01/2008,04,07,13,17,20,6
20/01/2008,02,22,25,28,49,3
13/01/2008,02,05,21,26,53,8
6/01/2008,26,29,43,47,50,5
30/12/2007,06,09,17,39,50,0
23/12/2007,06,17,31,44,50,0
16/12/2007,14,25,36,46,53,7
9/12/2007,07,23,34,39,48,9
2/12/2007,24,35,43,53,54,1
25/11/2007,26,39,41,50,53,8
18/11/2007,11,19,26,27,28,2
11/11/2007,05,10,18,48,51,6
4/11/2007,16,19,21,23,54,3
28/10/2007,13,29,47,52,53,3
21/10/2007,13,29,34,42,53,2
14/10/2007,18,32,34,42,54,5
7/10/2007,03,28,31,37,54,2
30/09/2007,12,15,32,39,50,4
23/09/2007,06,22,26,41,42,5
16/09/2007,11,18,37,47,50,7
9/09/2007,04,09,25,44,46,5
2/09/2007,06,16,40,41,53,0
26/08/2007,15,29,31,39,46,2
19/08/2007,15,36,38,47,51,6
12/08/2007,29,35,47,48,53,6
5/08/2007,01,03,17,49,50,4
29/07/2007,35,36,48,49,50,8
22/07/2007,25,38,46,48,49,9
15/07/2007,06,10,16,24,48,2
8/07/2007,01,03,33,51,52,6
1/07/2007,04,08,21,28,42,2
24/06/2007,04,12,29,30,41,8
17/06/2007,04,15,19,38,47,8
10/06/2007,19,20,25,27,36,3
3/06/2007,01,06,09,14,40,9
27/05/2007,05,12,24,35,47,7
20/05/2007,06,29,43,48,49,2
13/05/2007,09,20,26,27,32,2
6/05/2007,06,12,23,24,30,0
29/04/2007,15,26,29,38,46,6
22/04/2007,09,19,23,28,43,6
15/04/2007,06,08,25,38,46,1
8/04/2007,10,12,28,34,42,6
1/04/2007,11,13,14,20,46,7
25/03/2007,23,27,40,45,48,0
18/03/2007,17,18,20,21,47,6
11/03/2007,05,08,11,15,41,8
4/03/2007,11,17,20,28,41,0
25/02/2007,02,08,16,40,42,6
18/02/2007,09,33,36,42,51,8
11/02/2007,03,08,11,14,29,0
4/02/2007,24,25,40,41,43,8
28/01/2007,17,19,24,47,49,6
21/01/2007,17,23,25,27,31,2
14/01/2007,03,13,22,32,53,7
7/01/2007,03,22,38,50,54,1
31/12/2006,08,09,25,42,47,5
24/12/2006,05,09,10,12,33,1
17/12/2006,13,24,32,33,37,5
10/12/2006,08,10,25,34,54,3
3/12/2006,01,10,23,32,49,9
26/11/2006,16,37,45,51,53,4
19/11/2006,04,10,16,18,27,0
12/11/2006,05,16,26,36,37,4
5/11/2006,03,14,22,37,48,6
29/10/2006,01,21,32,43,50,2
22/10/2006,17,21,23,29,32,8
15/10/2006,02,04,26,34,40,7
8/10/2006,03,23,24,41,43,8
1/10/2006,04,15,49,51,52,9
24/09/2006,05,25,43,48,52,5
17/09/2006,04,05,19,27,38,9
10/09/2006,06,08,11,12,54,5
3/09/2006,03,05,24,40,50,5
27/08/2006,12,24,28,34,38,1
20/08/2006,28,32,35,53,54,5
13/08/2006,10,17,40,44,50,7
6/08/2006,08,19,20,37,49,7
30/07/2006,01,08,13,18,23,7
23/07/2006,06,09,13,33,36,0
16/07/2006,03,04,12,26,42,7
9/07/2006,03,15,20,46,49,7
1/07/2006,04,20,27,40,41,9
24/06/2006,14,28,38,41,54,7
17/06/2006,07,11,34,39,49,0
10/06/2006,09,10,11,21,53,7
3/06/2006,08,09,18,34,52,8
27/05/2006,01,10,35,44,48,8
20/05/2006,15,38,42,44,52,7
13/05/2006,10,13,24,29,41,1
6/05/2006,05,29,35,51,54,4
29/04/2006,16,17,19,28,53,1
22/04/2006,09,16,19,38,48,9
15/04/2006,02,10,26,40,45,1
8/04/2006,01,06,07,17,36,7
1/04/2006,17,42,48,50,53,1
25/03/2006,01,02,29,34,53,4
18/03/2006,25,28,29,45,54,0
11/03/2006,03,14,17,18,38,5
4/03/2006,17,22,31,35,40,8
25/02/2006,23,32,36,46,48,6
18/02/2006,07,08,09,11,33,1
11/02/2006,19,20,26,31,39,7
4/02/2006,01,03,15,32,36,5
28/01/2006,07,19,32,38,45,6
21/01/2006,08,18,19,27,45,9
14/01/2006,11,17,18,32,53,3
7/01/2006,04,07,31,32,34,2
31/12/2005,08,18,27,40,52,3
24/12/2005,07,09,37,47,52,6
17/12/2005,11,13,29,42,46,7
10/12/2005,21,32,48,53,54,0
3/12/2005,08,25,36,39,54,5
26/11/2005,03,08,30,47,49,7
19/11/2005,17,18,43,44,45,5
12/11/2005,03,05,07,38,44,3
5/11/2005,02,12,22,26,28,9
29/10/2005,27,34,36,42,46,3
22/10/2005,06,15,20,39,44,0
16/10/2005,03,12,23,50,51,3
9/10/2005,08,11,21,30,38,5
2/10/2005,12,22,32,37,49,1
25/09/2005,05,10,25,27,41,9
18/09/2005,06,19,31,46,53,1
11/09/2005,03,12,21,42,46,4
4/09/2005,13,26,32,44,53,0
28/08/2005,02,04,15,36,44,0
21/08/2005,06,23,42,43,53,3
14/08/2005,17,19,40,46,54,1
7/08/2005,06,12,14,41,49,2
31/07/2005,18,22,27,31,39,8
24/07/2005,06,07,15,46,53,0
17/07/2005,02,14,31,37,38,6
10/07/2005,03,11,26,34,50,9
3/07/2005,15,29,39,43,52,5
26/06/2005,19,20,21,24,33,8
19/06/2005,07,12,24,37,40,3
12/06/2005,02,06,23,24,35,6
5/06/2005,06,13,17,35,39,3
29/05/2005,04,11,19,37,49,6
22/05/2005,18,20,32,38,45,7
15/05/2005,03,18,43,45,53,1
8/05/2005,21,25,30,50,51,5
1/05/2005,05,07,16,18,19,8
24/04/2005,07,12,33,40,44,4
17/04/2005,12,22,33,40,46,8
10/04/2005,24,28,33,44,51,8
3/04/2005,01,02,21,36,52,3
27/03/2005,09,11,19,31,54,9
20/03/2005,19,44,49,51,52,8
13/03/2005,07,17,45,47,50,9
6/03/2005,12,22,25,35,48,2
27/02/2005,11,19,20,35,53,3
20/02/2005,02,13,17,25,47,2
13/02/2005,22,35,37,43,52,9
6/02/2005,34,42,47,48,51,5
